190, 0, 41.496693, -86.322052, 239.61, 0.00, 1, 0.00, 1500, 1500, 1500, 161.25, 14427.50, 6.25, 14423.75
191, 0, 41.496695, -86.322052, 239.62, 0.00, 1, 0.00, 1500, 1500, 1500, 160.00, 14427.50, 5.00, 14426.25
192, 0, 41.496695, -86.322052, 240.30, 0.00, 1, 0.00, 1500, 1500, 1500, 138.75, 14430.00, 7.50, 14428.75
193, 0, 41.496696, -86.322052, 240.94, 0.00, 1, 0.00, 1500, 1500, 1500, 145.00, 14430.00, 6.25, 14427.50
194, 0, 41.496696, -86.322052, 236.65, 0.00, 1, 0.00, 1500, 1500, 1500, 148.75, 14427.50, 6.25, 14423.75
195, 0, 41.496696, -86.322052, 238.04, 0.00, 1, 0.00, 1500, 1500, 1500, 158.75, 14430.00, 7.50, 14428.75
196, 0, 41.496696, -86.322052, 237.89, 0.00, 1, 0.00, 1500, 1500, 1500, 156.25, 14428.75, 6.25, 14426.25
197, 0, 41.496698, -86.322052, 239.49, 0.00, 1, 0.00, 1500, 1500, 1500, 150.00, 14665.00, 6.25, 14836.25
198, 0, 41.496698, -86.322052, 239.06, 0.00, 1, 0.00, 1500, 1500, 1500, 431.25, 15142.50, 8665.00, 15217.50
199, 0, 41.496698, -86.322052, 238.31, 0.00, 1, 0.00, 1500, 1500, 1500, 156.25, 14426.25, 6.25, 14427.50
200, 0, 41.496698, -86.322052, 238.37, 0.00, 1, 0.00, 1500, 1500, 1500, 387.50, 14390.00, 6.25, 14373.75
201, 0, 41.496700, -86.322052, 239.95, 0.00, 1, 0.00, 1500, 1500, 1500, 160.00, 14430.00, 7.50, 14426.25
203, 0, 41.496700, -86.322052, 239.04, 0.00, 1, 0.00, 1500, 1500, 1500, 152.50, 14425.00, 7.50, 14423.75
204, 0, 41.496702, -86.322052, 240.94, 0.00, 1, 0.00, 1500, 1500, 1500, 430.00, 14378.75, 6.25, 14368.75
205, 0, 41.496702, -86.322052, 239.62, 0.00, 1, 0.00, 1500, 1500, 1500, 147.50, 14427.50, 6.25, 14425.00
206, 0, 41.496706, -86.322052, 240.82, 0.00, 1, 0.00, 1500, 1500, 1500, 167.50, 14427.50, 6.25, 14422.50
207, 0, 41.496706, -86.322052, 239.29, 0.00, 1, 0.00, 1500, 1500, 1500, 146.25, 14428.75, 7.50, 14426.25
208, 0, 41.496706, -86.322052, 237.94, 0.00, 1, 0.00, 1500, 1500, 1500, 152.50, 14427.50, 6.25, 14427.50
209, 0, 41.496706, -86.322052, 237.65, 0.00, 1, 0.00, 1500, 1500, 1500, 155.00, 14428.75, 7.50, 14427.50
210, 0, 41.496706, -86.322052, 240.65, 0.00, 1, 0.00, 1500, 1500, 1500, 153.75, 14428.75, 7.50, 14428.75
211, 0, 41.496708, -86.322052, 240.06, 0.00, 1, 0.00, 1500, 1500, 1500, 157.50, 14431.25, 6.25, 14426.25
213, 0, 41.496708, -86.322052, 239.61, 0.00, 1, 0.00, 1500, 1500, 1500, 158.75, 14430.00, 7.50, 14428.75
214, 0, 41.496708, -86.322052, 239.18, 0.00, 1, 0.00, 1500, 1500, 1500, 160.00, 14430.00, 7.50, 14425.00
215, 0, 41.496708, -86.322052, 240.75, 0.00, 1, 0.00, 1500, 1500, 1500, 160.00, 14432.50, 7.50, 14428.75
216, 0, 41.496710, -86.322052, 238.63, 0.00, 1, 0.00, 1500, 1500, 1500, 152.50, 14428.75, 7.50, 14423.75
217, 0, 41.496710, -86.322052, 239.73, 0.00, 1, 0.00, 1500, 1500, 1500, 163.75, 14427.50, 5.00, 14423.75
218, 0, 41.496710, -86.322052, 238.21, 0.00, 1, 0.00, 1500, 1500, 1500, 152.50, 14430.00, 5.00, 14427.50
219, 0, 41.496710, -86.322052, 240.49, 0.00, 1, 0.00, 1500, 1500, 1500, 158.75, 14426.25, 7.50, 14423.75
220, 0, 41.496710, -86.322052, 242.29, 0.00, 1, 0.00, 1500, 1500, 1500, 153.75, 14426.25, 7.50, 14422.50
221, 0, 41.496710, -86.322060, 245.21, 0.00, 1, 0.00, 1500, 1500, 1500, 152.50, 14426.25, 7.50, 14425.00
